;populacao_6
"PS";"2.283,6"
"SY";"239,3"
"TR";"149,0"
"AE";"191,7"
"YE";"119,9"
"BY";"48,3"
"BG";"53,2"
"CZ";"146,7"
"HU";"100,9"
"PL";"113,3"
"MD";"106,8"
"RO";"77,7"
"RU";"9,4"
"SK";"114,4"
"UA";"69,3"
"DK";"179,7"
"EE";"29,7"
"FO";"47,2"
"FI";"23,0"
"IS";"4,6"
"IE";"101,6"
"IM";"205,1"
"LV";"26,6"
"LT";"42,8"
"NO";"23,2"
"SE";"34,8"
"GB";"375,3"
"AL";"105,8"
"AD";"176,5"
"BA";"65,9"
"HR";"67,2"
"GI";"4.372,1"
"GR";"82,6"
"VA";"2.072,7"
"IT";"205,2"
"MT";"1.487,4"
"ME";"49,2"
"PT";"104,9"
"SM";"656,9"
"RS";"94,4"
"SI";"106,4"
"ES";"96,6"
"MK";"85,6"
"AT";"122,8"
"BE";"488,5"
"FR";"153,2"
"DE";"256,0"
"LI";"318,7"
"LU";"387,3"
"MC";"37.787,3"
"NL";"600,1"
"CH";"297,4"
"AI";"199,3"
"AG";"347,6"
"AW";"689,3"
"BS";"57,4"
"BB";"754,9"
"VG";"295,5"
"KY";"423,0"
"CU";"110,7"
"CW";"489,5"
"DM";"117,5"
"DO";"339,8"
"GD";"368,8"
"GP";"280,3"
"HT";"628,4"
"JM";"275,2"
"MQ";"367,0"
"MS";"62,6"
"PR";"404,1"
"KN";"288,8"
"LC";"339,0"
"VC";"323,5"
"SX";"1.930,6"
"TT";"284,5"
"TC";"62,3"
"VI";"275,5"
"BZ";"34,3"
"CR";"134,1"
"SV";"408,4"
"GT";"334,1"
"HN";"150,9"
"MX";"103,6"
"NI";"80,8"
"PA";"100,2"
"AR";"25,2"
"BO";"19,0"
"BR";"32,7"
"CL";"33,0"
"CO";"58,0"
"EC";"117,5"
"FK";"0,3"
"GF";"9,1"
"GY";"4,9"
"PY";"28,1"
"PE";"40,2"
"SR";"5,0"
"UY";"24,8"
"VE";"59,2"
"BM";"1.171,0"
"CA";"6,0"
"GL";"0,2"
"PM";"38,3"
"US";"52,8"
"AU";"5,5"
"NZ";"26,4"
"FJ";"65,6"
"NC";"26,0"
"PG";"41,4"
"SB";"50,2"
"VU";"53,2"
"FM";"256,6"
"GU";"428,7"
"KI";"293,0"
"MH";"454,2"
"FM";"226,5"
"NR";"650,2"
"MP";"124,3"
"PW";"74,1"
"AS";"333,8"
"CK";"89,2"
"PF";"106,0"
"NU";"8,5"
"WS";"108,2"
"TK";"194,4"
"TO";"247,1"
"TV";"637,0"
"WF";"90,9"
"BI";"1.137,6"
"KM";"778,5"
"DJ";"48,4"
"ER";"95,4"
"ET";"183,5"
"KE";"167,2"
"MG";"97,2"
"MW";"473,4"
"MU";"460,0"
"YT";"1.330,3"
"MZ";"95,9"
"RE";"333,5"
"RW";"850,2"
"SC";"162,5"
"SO";"65,8"
"SS";"43,4"
"UG";"591,4"
"TZ";"176,0"
"ZM";"63,1"
"ZW";"73,6"
"AO";"70,8"
"CM";"113,0"
"CF";"14,6"
"TD";"29,2"
"CG";"36,9"
"CD";"97,0"
"GQ";"106,8"
"GA";"13,4"
"ST";"398,7"
"DZ";"21,5"
"EG";"142,8"
"LY";"3,8"
"MA";"87,3"
"SD";"47,9"
"TN";"75,2"
"EH";"3,6"
"BW";"5,4"
"LS";"94,3"
"NA";"5,0"
"ZA";"51,0"
"SZ";"107,8"
"BJ";"228,5"
"BF";"172,2"
"CV";"154,5"
"CI";"176,1"
"GM";"473,1"
"GH";"223,2"
"GN";"116,4"
"GW";"131,6"
"LR";"107,5"
"ML";"39,9"
"MR";"9,2"
"NE";"69,6"
"NG";"497,3"
"SH";"8,6"
"SN";"191,5"
"SL";"169,9"
"TG";"288,4"
"CN";"111,8"
"HK";"6.714,6"
"MO";"27.174,6"
"TW";"497,0"
"KP";"177,9"
"JP";"233,7"
"MN";"2,3"
"KR";"406,3"
"KZ";"7,4"
"KG";"36,6"
"TJ";"96,7"
"TM";"14,4"
"UZ";"79,6"
"AF";"87,8"
"BD";"1.256,0"
"BT";"21,4"
"IN";"460,8"
"IR";"45,7"
"MV";"1.651,6"
"NP";"202,6"
"PK";"361,3"
"LK";"250,1"
"BN";"85,0"
"KH";"105,8"
"ID";"145,9"
"LA";"32,7"
"MY";"110,2"
"MM";"76,5"
"PH";"451,5"
"SG";"7.806,2"
"TH";"96,7"
"TL";"166,3"
"VN";"310,3"
"AM";"70,6"
"AZ";"106,6"
"BH";"2.750,8"
"CY";"128,2"
"GE";"36,3"
"IQ";"200,1"
"IL";"561,2"
"JO";"148,0"
"KW";"278,1"
"LB";"423,1"
"OM";"19,9"
"QA";"306,2"
"SA";"18,2"
"PS";"1.631,9"
"SY";"169,3"
"TR";"103,3"
"AE";"148,0"
"YE";"83,7"
"BY";"33,3"
"BG";"36,5"
"CZ";"105,1"
"HU";"69,9"
"PL";"78,4"
"MD";"69,8"
"RO";"53,3"
"RU";"6,5"
"SK";"79,6"
"UA";"47,1"
"DK";"129,2"
"EE";"20,8"
"FO";"33,9"
"FI";"16,7"
"IS";"3,3"
"IE";"74,0"
"IM";"149,9"
"LV";"18,2"
"LT";"29,1"
"NO";"17,0"
"SE";"25,4"
"GB";"271,6"
"AL";"71,6"
"AD";"130,1"
"BA";"45,4"
"HR";"46,7"
"GI";"3.162,0"
"GR";"59,4"
"VA";"1.652,3"
"IT";"149,9"
"MT";"1.062,2"
"ME";"33,9"
"PT";"74,9"
"SM";"480,4"
"RS";"63,9"
"SI";"76,7"
"ES";"70,5"
"MK";"58,6"
"AT";"88,9"
"BE";"353,9"
"FR";"110,5"
"DE";"185,2"
"LI";"233,6"
"LU";"286,2"
"MC";"28.871,1"
"NL";"429,4"
"CH";"219,1"
"AI";"135,3"
"AG";"237,4"
"AW";"476,6"
"BS";"40,3"
"BB";"521,9"
"VG";"210,0"
"KY";"307,2"
"CU";"77,8"
"CW";"353,3"
"DM";"79,5"
"DO";"224,7"
"GD";"236,7"
"GP";"194,1"
"HT";"420,8"
"JM";"176,1"
"MQ";"254,8"
"MS";"43,1"
"PR";"271,5"
"KN";"196,0"
"LC";"229,3"
"VC";"210,6"
"SX";"1.372,4"
"TT";"189,3"
"TC";"44,1"
"VI";"181,3"
"BZ";"23,4"
"CR";"93,5"
"SV";"262,9"
"GT";"231,6"
"HN";"103,0"
"MX";"71,0"
"NI";"54,7"
"PA";"70,0"
"AR";"17,5"
"BO";"13,1"
"BR";"22,4"
"CL";"23,2"
"CO";"39,3"
"EC";"81,2"
"FK";"0,2"
"GF";"6,8"
"GY";"3,1"
"PY";"18,9"
"PE";"27,8"
"SR";"3,4"
"UY";"17,0"
"VE";"40,0"
"BM";"817,2"
"CA";"4,5"
"GL";"0,1"
"PM";"27,1"
"US";"37,9"
"AU";"4,0"
"NZ";"19,0"
"FJ";"42,9"
"NC";"18,8"
"PG";"29,5"
"SB";"35,8"
"VU";"37,9"
"FM";"177,3"
"GU";"295,4"
"KI";"208,3"
"MH";"316,4"
"FM";"150,7"
"NR";"445,3"
"MP";"83,5"
"PW";"52,3"
"AS";"213,7"
"CK";"60,6"
"PF";"73,3"
"NU";"5,8"
"WS";"75,0"
"TK";"133,6"
"TO";"170,3"
"TV";"433,0"
"WF";"62,0"
"BI";"2.076,4"
"KM";"1.417,5"
"DJ";"81,8"
"ER";"175,7"
"ET";"406,2"
"KE";"295,2"
"MG";"169,0"
"MW";"878,0"
"MU";"548,7"
"YT";"2.381,8"
"MZ";"179,9"
"RE";"466,7"
"RW";"1.611,0"
"SC";"234,3"
"SO";"129,0"
"SS";"82,9"
"UG";"1.231,5"
"TZ";"310,8"
"ZM";"106,5"
"ZW";"139,7"
"AO";"133,5"
"CM";"209,4"
"CF";"28,6"
"TD";"65,2"
"CG";"63,5"
"CD";"206,6"
"GQ";"210,1"
"GA";"23,7"
"ST";"729,8"
"DZ";"33,6"
"EG";"230,9"
"LY";"5,6"
"MA";"128,4"
"SD";"84,9"
"TN";"101,3"
"EH";"5,1"
"BW";"8,5"
"LS";"162,6"
"NA";"8,6"
"ZA";"76,3"
"SZ";"193,4"
"BJ";"410,4"
"BF";"337,7"
"CV";"240,7"
"CI";"308,6"
"GM";"968,3"
"GH";"378,4"
"GN";"227,9"
"GW";"248,4"
"LR";"196,1"
"ML";"86,1"
"MR";"15,5"
"NE";"129,2"
"NG";"926,1"
"SH";"10,6"
"SN";"343,4"
"SL";"371,3"
"TG";"510,4"
"CN";"126,0"
"HK";"6.896,1"
"MO";"27.265,7"
"TW";"508,6"
"KP";"228,7"
"JP";"253,6"
"MN";"3,5"
"KR";"427,7"
"KZ";"10,8"
"KG";"59,0"
"TJ";"157,3"
"TM";"23,3"
"UZ";"116,0"
"AF";"236,5"
"BD";"1.876,6"
"BT";"31,5"
"IN";"673,1"
"IR";"59,2"
"MV";"2.273,5"
"NP";"318,5"
"PK";"638,0"
"LK";"343,9"
"BN";"107,6"
"KH";"165,2"
"ID";"213,8"
"LA";"57,7"
"MY";"147,1"
"MM";"110,7"
"PH";"702,1"
"SG";"8.790,7"
"TH";"117,5"
"TL";"375,5"
"VN";"371,7"
"AM";"86,1"
"AZ";"140,3"
"BH";"3.570,2"
"CY";"146,1"
"GE";"46,6"
"IQ";"329,0"
"IL";"778,4"
"JO";"259,3"
"KW";"352,0"
"LB";"521,6"
"OM";"30,0"
"QA";"371,5"
"SA";"27,4"
"PS";"2.919,7"
"SY";"275,2"
"TR";"139,3"
"AE";"176,6"
"YE";"181,4"
"BY";"37,0"
"BG";"39,8"
"CZ";"113,0"
"HU";"76,5"
"PL";"90,0"
"MD";"80,6"
"RO";"59,4"
"RU";"7,3"
"SK";"86,3"
"UA";"51,7"
"DK";"148,3"
"EE";"23,1"
"FO";"45,5"
"FI";"19,4"
"IS";"4,2"
"IE";"88,5"
"IM";"174,7"
"LV";"20,1"
"LT";"32,6"
"NO";"19,8"
"SE";"29,6"
"GB";"321,3"
"AL";"87,2"
"AD";"142,5"
"BA";"49,3"
"HR";"54,6"
"GI";"3.742,3"
"GR";"67,2"
"VA";"1.861,4"
"IT";"163,7"
"MT";"1.159,6"
"ME";"41,6"
"PT";"84,5"
"SM";"509,3"
"RS";"74,3"
"SI";"84,6"
"ES";"76,8"
"MK";"66,2"
"AT";"97,0"
"BE";"408,3"
"FR";"131,7"
"DE";"205,3"
"LI";"259,9"
"LU";"317,0"
"MC";"36.151,7"
"NL";"498,6"
"CH";"247,8"
"AI";"173,4"
"AG";"312,1"
"AW";"574,3"
"BS";"49,7"
"BB";"620,8"
"VG";"271,0"
"KY";"358,1"
"CU";"90,5"
"CW";"437,1"
"DM";"103,1"
"DO";"348,6"
"GD";"346,8"
"GP";"250,0"
"HT";"724,7"
"JM";"249,3"
"MQ";"324,4"
"MS";"57,3"
"PR";"327,5"
"KN";"259,1"
"LC";"281,6"
"VC";"296,2"
"SX";"1.675,1"
"TT";"243,1"
"TC";"57,8"
"VI";"261,8"
"BZ";"35,9"
"CR";"118,9"
"SV";"386,6"
"GT";"390,7"
"HN";"162,2"
"MX";"103,1"
"NI";"80,5"
"PA";"100,4"
"AR";"23,7"
"BO";"20,8"
"BR";"28,6"
"CL";"28,5"
"CO";"52,7"
"EC";"118,9"
"FK";"0,2"
"GF";"10,1"
"GY";"5,0"
"PY";"28,5"
"PE";"40,7"
"SR";"4,9"
"UY";"22,1"
"VE";"58,1"
"BM";"972,9"
"CA";"5,2"
"GL";"0,1"
"PM";"35,3"
"US";"44,2"
"AU";"4,9"
"NZ";"23,9"
"FJ";"65,9"
"NC";"24,7"
"PG";"48,2"
"SB";"61,9"
"VU";"57,8"
"FM";"277,1"
"GU";"413,7"
"KI";"327,8"
"MH";"653,2"
"FM";"260,8"
"NR";"587,9"
"MP";"102,8"
"PW";"66,2"
"AS";"364,3"
"CK";"88,5"
"PF";"97,5"
"NU";"8,5"
"WS";"131,0"
"TK";"232,1"
"TO";"278,0"
"TV";"681,1"
"WF";"85,3"
"BI";"667,5"
"KM";"599,6"
"DJ";"60,2"
"ER";"76,8"
"ET";"170,2"
"KE";"142,7"
"MG";"71,4"
"MW";"337,6"
"MU";"713,7"
"YT";"1.154,6"
"MZ";"59,8"
"RE";"404,2"
"RW";"778,8"
"SC";"204,7"
"SO";"33,7"
"SS";"31,6"
"UG";"352,4"
"TZ";"105,2"
"ZM";"37,6"
"ZW";"68,0"
"AO";"38,4"
"CM";"79,8"
"CF";"11,1"
"TD";"18,2"
"CG";"24,2"
"CD";"56,7"
"GQ";"86,1"
"GA";"11,9"
"ST";"276,3"
"DZ";"24,6"
"EG";"137,8"
"LY";"5,0"
"MA";"105,7"
"SD";"34,7"
"TN";"94,9"
"EH";"4,3"
"BW";"6,3"
"LS";"102,0"
"NA";"4,8"
"ZA";"63,8"
"SZ";"118,8"
"BJ";"151,9"
"BF";"107,5"
"CV";"200,7"
"CI";"113,6"
"GM";"311,6"
"GH";"184,3"
"GN";"80,6"
"GW";"97,8"
"LR";"75,6"
"ML";"22,6"
"MR";"6,5"
"NE";"27,2"
"NG";"308,6"
"SH";"12,2"
"SN";"126,8"
"SL";"151,8"
"TG";"213,5"
"CN";"159,3"
"HK";"9.512,5"
"MO";"36.545,2"
"TW";"750,5"
"KP";"244,6"
"JP";"323,0"
"MN";"2,5"
"KR";"588,5"
"KZ";"8,4"
"KG";"37,7"
"TJ";"90,3"
"TM";"16,1"
"UZ";"104,4"
"AF";"82,0"
"BD";"1.783,6"
"BT";"30,5"
"IN";"605,1"
"IR";"68,2"
"MV";"2.165,3"
"NP";"291,1"
"PK";"365,7"
"LK";"336,1"
"BN";"115,5"
"KH";"127,5"
"ID";"184,3"
"LA";"41,1"
"MY";"146,0"
"MM";"103,4"
"PH";"476,1"
"SG";"11.637,0"
"TH";"149,3"
"TL";"100,1"
"VN";"400,9"
"AM";"108,4"
"AZ";"144,5"
"BH";"3.503,2"
"CY";"188,8"
"GE";"48,7"
"IQ";"139,1"
"IL";"552,9"
"JO";"146,0"
"KW";"355,4"
"LB";"617,8"
"OM";"23,4"
"QA";"378,4"
"SA";"21,8"
"PS";"1.322,4"
"SY";"190,1"
"TR";"137,3"
"AE";"189,6"
"YE";"81,6"
"BY";"45,3"
"BG";"51,9"
"CZ";"142,7"
"HU";"105,2"
"PL";"123,1"
"MD";"120,9"
"RO";"77,5"
"RU";"8,7"
"SK";"115,8"
"UA";"68,6"
"DK";"167,7"
"EE";"28,4"
"FO";"38,7"
"FI";"21,5"
"IS";"4,3"
"IE";"90,5"
"IM";"192,3"
"LV";"26,1"
"LT";"40,6"
"NO";"21,5"
"SE";"31,4"
"GB";"344,2"
"AL";"103,4"
"AD";"192,8"
"BA";"68,3"
"HR";"69,7"
"GI";"4.044,5"
"GR";"88,4"
"VA";"2.627,3"
"IT";"205,7"
"MT";"1.503,5"
"ME";"48,5"
"PT";"114,1"
"SM";"676,3"
"RS";"92,4"
"SI";"102,0"
"ES";"100,2"
"MK";"85,5"
"AT";"122,3"
"BE";"452,8"
"FR";"135,6"
"DE";"260,8"
"LI";"312,7"
"LU";"377,3"
"MC";"33.072,5"
"NL";"563,6"
"CH";"298,1"
"AI";"198,5"
"AG";"306,6"
"AW";"648,3"
"BS";"55,9"
"BB";"697,3"
"VG";"265,3"
"KY";"392,6"
"CU";"106,1"
"CW";"440,5"
"DM";"109,1"
"DO";"285,1"
"GD";"328,9"
"GP";"255,9"
"HT";"500,4"
"JM";"250,4"
"MQ";"338,2"
"MS";"55,0"
"PR";"421,7"
"KN";"272,1"
"LC";"359,9"
"VC";"305,1"
"SX";"1.864,9"
"TT";"279,3"
"TC";"58,9"
"VI";"235,5"
"BZ";"28,2"
"CR";"130,5"
"SV";"371,5"
"GT";"253,9"
"HN";"130,5"
"MX";"94,6"
"NI";"72,9"
"PA";"81,6"
"AR";"21,2"
"BO";"14,6"
"BR";"32,7"
"CL";"31,5"
"CO";"56,5"
"EC";"97,4"
"FK";"0,2"
"GF";"6,2"
"GY";"3,9"
"PY";"23,2"
"PE";"34,6"
"SR";"4,2"
"UY";"22,5"
"VE";"50,4"
"BM";"1.173,3"
"CA";"6,0"
"GL";"0,1"
"PM";"34,2"
"US";"47,7"
"AU";"5,2"
