;populacao_6
"CD";"90,6"
"GQ";"107,0"
"GA";"14,6"
"ST";"422,0"
"DZ";"26,1"
"EG";"167,2"
"LY";"5,1"
"MA";"112,1"
"SD";"48,0"
"TN";"97,9"
"EH";"4,0"
"BW";"6,6"
"LS";"116,6"
"NA";"5,7"
"ZA";"66,3"
"SZ";"133,5"
"BJ";"222,8"
"BF";"165,4"
"CV";"202,0"
"CI";"170,1"
"GM";"473,1"
"GH";"240,6"
"GN";"115,3"
"GW";"135,8"
"LR";"107,8"
"ML";"37,6"
"MR";"9,1"
"NE";"54,7"
"NG";"470,1"
"SH";"11,9"
"SN";"185,5"
"SL";"194,1"
"TG";"299,0"
"CN";"160,5"
"HK";"8.533,0"
"MO";"31.395,2"
"TW";"708,0"
"KP";"246,4"
"JP";"327,0"
"MN";"2,9"
"KR";"568,2"
"KZ";"9,3"
"KG";"46,4"
"TJ";"112,4"
"TM";"18,4"
"UZ";"106,5"
"AF";"102,5"
"BD";"1.734,3"
"BT";"28,9"
"IN";"617,7"
"IR";"63,6"
"MV";"2.086,7"
"NP";"282,9"
"PK";"431,7"
"LK";"370,4"
"BN";"111,6"
"KH";"136,4"
"ID";"196,7"
"LA";"44,2"
"MY";"139,0"
"MM";"106,2"
"PH";"555,4"
"SG";"10.210,7"
"TH";"142,6"
"TL";"172,6"
"VN";"404,6"
"AM";"106,2"
"AZ";"148,3"
"BH";"3.297,7"
"CY";"163,3"
"GE";"54,7"
"IQ";"198,3"
"IL";"619,7"
"JO";"172,8"
"KW";"343,9"
"LB";"590,3"
"OM";"23,3"
"QA";"343,2"
"SA";"22,7"
"PS";"1.718,6"
"SY";"200,6"
"TR";"136,7"
"AE";"167,2"
"YE";"99,1"
"BY";"46,7"
"BG";"55,6"
"CZ";"142,3"
"HU";"101,5"
"PL";"117,8"
"MD";"113,5"
"RO";"79,2"
"RU";"9,0"
"SK";"114,2"
"UA";"70,0"
"DK";"161,9"
"EE";"29,8"
"FO";"42,9"
"FI";"21,0"
"IS";"4,2"
"IE";"91,1"
"IM";"184,9"
"LV";"27,1"
"LT";"42,7"
"NO";"20,0"
"SE";"30,6"
"GB";"337,9"
"AL";"108,6"
"AD";"179,0"
"BA";"66,6"
"HR";"68,6"
"GI";"4.027,6"
"GR";"85,2"
"VA";"1.945,5"
"IT";"204,5"
"MT";"1.437,6"
"ME";"48,5"
"PT";"108,4"
"SM";"629,1"
"RS";"95,0"
"SI";"105,4"
"ES";"97,2"
"MK";"85,0"
"AT";"117,5"
"BE";"447,9"
"FR";"140,2"
"DE";"248,5"
"LI";"291,7"
"LU";"329,9"
"MC";"32.605,4"
"NL";"567,8"
"CH";"270,2"
"AI";"193,7"
"AG";"314,0"
"AW";"654,8"
"BS";"52,0"
"BB";"720,4"
"VG";"273,4"
"KY";"367,0"
"CU";"112,1"
"CW";"444,0"
"DM";"113,7"
"DO";"306,0"
"GD";"363,4"
"GP";"278,4"
"HT";"563,5"
"JM";"282,7"
"MQ";"371,1"
"MS";"59,6"
"PR";"414,9"
"KN";"270,1"
"LC";"333,9"
"VC";"315,8"
"SX";"1.671,0"
"TT";"282,5"
"TC";"55,0"
"VI";"286,1"
"BZ";"28,5"
"CR";"124,6"
"SV";"380,8"
"GT";"274,3"
"HN";"130,4"
"MX";"93,3"
"NI";"72,6"
"PA";"85,5"
"AR";"22,1"
"BO";"16,0"
"BR";"30,9"
"CL";"30,6"
"CO";"54,9"
"EC";"101,4"
